axieId,priceEth,saleDate,eye,ear,breedCount,mouth,horn,back,tail,eyeClass,earClass,genes
11922454,0.0088,2023-11-06,Clear,Tiny Fan,3,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa00000000708a02210440904104520c41044110c1445100c04a1208a10400846
11318667,0.0110,2023-10-22,Clear,Sidebarb,4,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Reptile,0x400000001e286222104221041041094414c4210a1440300604a1284410441146
11902721,0.0159,2023-10-19,Telescope,Inkling,5,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa0000000051c712310a51044104521041084188c1443194a04a1284a10400908
11879097,0.0200,2023-10-07,Scar,Bubblemaker,3,Catfish,Scaly Spear,Scarab,Nimo,Reptile,Aquatic,0xa0000000051864121480110a10441104106420041445310604a129481044304c
11275942,0.0250,2023-09-29,Sleepless,Curly,5,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Bird,0xa00000000c0482141021214a104408c408a5190a1445310404a1280610441042
11306477,0.0320,2023-09-28,Sleepless,Gill,4,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa00000000630c223102008c21045210210a320821445104c04a3188a10413082
11336272,0.0200,2023-09-19,Little Owl,Gill,3,Catfish,Scaly Spear,Scarab,Nimo,Bird,Aquatic,0xa0000000311c6221088511021043214810a421061445310c04a5314210433042
11605978,0.0200,2023-09-01,Gero,Tiny Fan,0,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0x40000000027862221085110a10452882104411441440114c04a1280210441102
11342317,0.0222,2023-08-25,Clear,Gill,3,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa000000007187224104420041044114810a4190c1445110804a5094210441042
11340169,0.0107,2023-08-16,Telescope,Bubblemaker,2,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa00000002114513310a4284210431004106508c61445114404a531421040080c
11341452,0.0100,2023-08-14,Sleepless,Ear Breathing,0,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Bug,0xa0000000031853241024208a10441008046121041443214404a1288a10400844
11326698,0.0040,2023-08-13,Sleepless,Tiny Fan,4,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa00000000c3312221024210210402148104028821443304c04a129081042108c
11342035,0.0040,2023-07-30,Sleepless,Tiny Fan,3,Catfish,Scaly Spear,Scarab,Nimo,Aquatic,Aquatic,0xa00000000c3022221023280210402148104420821442194c04a1284a1044108c
